heading,bias_true,bias_pred
Trump campaign accused of T-shirt design with similarity to Nazi eagle,Left,Center
"OPINION: Landrieu throws Hail Mary, GOP may score",Left,Center
"Congress Will Vote On Keystone XL Pipeline, With An Eye On Louisiana",Left,Center
"Keystone pipeline re-emerges as political football as Landrieu, GOP rival call for vote",Right,Center
"James Mattis quitting as defense secretary, cites differences with Trump",Right,Center
"James Mattis to Depart as Defense Chief Over Troop Withdrawals from Syria, Afghanistan",Center,Neutral
Mattis resigns after clash with Trump over troop withdrawal from Syria and Afghanistan,Left,Center
ISIS claim responsibility for shooting at Texas Muhammad cartoon contest,Right,Neutral
"ISIS Claims Credit For Shooting In Garland, Texas",Left,Center
ISIS Claims Link to Shooting at Texas Event Showing Muhammad Cartoons,Left,Neutral
Trump Pushes Back Against Mitch McConnell’s Criticism Of ‘Excessive Expectations’,Left,Center
Trump Criticizes McConnell for Failure to Advance Health-Law Reform,Center,Center
Trump Continues Hammering McConnell Over Healthcare Failure,Right,Center
Tulsi Gabbard Votes ‘Present’ on Impeachment Articles,Left,Neutral
"Gabbard Defends ‘Present’ Impeachment Vote, Citing ‘Tribal Animosities’",Right,Center
Tulsi Gabbard on Trump impeachment: 'I could not in good conscience vote either yes or no',Left,Center
Paris Attacks Undercut Western Hopes of Containing Extremists,Center,Center
Obama: Paris Attacks Are 'Attack On All Of Humanity',Left,Center
From Paris: Border Chaos As France Faces Biggest Terror Disaster Since Hitler,Right,Right
Chuck Hagel Confirmation: Senate Vote Fails To End Filibuster On Obama Pick,Left,Neutral
Republicans stall Hagel nomination,Left,Right
Senate Republicans Block Hagel Confirmation....For Now,Right,Center
Appeals Court Forces Dismissal Of Michael Flynn Case Over Judge’s Objections,Left,Right
"Appeals court orders Flynn case dismissal, after years-long legal saga",Right,Center
U.S. appeals court orders dismissal of criminal case against Michael Flynn,Center,Center
Justices Weigh Law Denying U.S. Benefits to Gay Spouses,Left,Center
DOMA Challenge Tests Federal Definition Of Marriage,Left,Center
Supreme Court to hear arguments over challenge to federal law in second of gay marriage cases,Right,Center
Job openings in the US soar to record 9.3 million,Left,Center
Is Unemployment Bonus Keeping Workers on Sideline?,Center,Neutral
"Job openings soar to record high 9.3 million, raising fears of labor shortage",Right,Neutral
Weiner kept sexting after resignation,Left,Neutral
"Anthony Weiner admits to sending more lewd images, texts but vows to stay in mayor's race",Right,Neutral
Weiner Apologizes After New Messages Emerge,Center,Neutral
Hillary Clinton Unofficial Winner of Kentucky,Right,Left
Clinton claims Kentucky victory,Left,Neutral
Clinton declare victory in Kentucky primary,Left,Neutral
How Planned Parenthood could shut down the government,Left,Neutral
OPINION: Planned Parenthood president: These extremist videos are nothing short of an attack on women,Left,Left
"OPINION: Abortion is legal, but taxpayers shouldn’t have to pay for it.",Right,Center
"Ukraine’s Capital Under Attack By Russian Forces, Missiles",Right,Center
Kyiv awaits Russian invaders with petrol bombs and dark humour,Center,Left
Russian Assault on the Ukrainian Capital Is Underway,Left,Center
"F.B.I. Used Informant to Investigate Russia Ties to Campaign, Not to Spy, as Trump Claims",Left,Center
FBI informant met with three Trump campaign advisers: report,Center,Center
"Obama's FBI Spied On The Trump Campaign, So What Did He Know And When Did He Know It?",Right,Right
"Twitter accepts buyout, giving Elon Musk total control of the company",Left,Neutral
Elon Musk Agrees to Buy Twitter in $44 Billion Deal,Center,Neutral
Twitter Announces Deal With Elon Musk,Right,Neutral
Republicans gush over Klobuchar,Left,Neutral
Senator Klobuchar joins Democratic presidential field,Center,Center
Scandal-Plagued Sen. Amy Klobuchar Announces 2020 Presidential Run,Right,Center
"The Senate has approved the USMCA, bringing Trump’s trade deal one step closer to reality",Left,Center
Senate passes USMCA trade deal,Left,Center
USMCA heads to Trump’s desk for signature after Senate approves pact,Center,Center
"Talks over immigration reform, guest worker program ramp up in Washington",Right,Center
Critics Question Witness List Ahead Of Immigration Hearing,Left,Center
Unions Seize on Immigration Debate,Center,Neutral
What's Behind Rubio's 'Full Circle Back' On Immigration?,Left,Neutral
Lindsey Graham goes all-in on immigration,Left,Neutral
Change of strategy for immigration: Reform bill faces full gantlet in the Senate,Right,Center
"US job growth stumbles in August with 130,000 added",Right,Neutral
"U.S. saw 130,000 new jobs in August, but blue-collar gains slowed",Left,Center
Tepid U.S. Jobs Report Adds To Economic Jitters,Left,Center
Biden Vows Executive Action After Republicans Kill Dem Police Reform Bill,Right,Left
Police reform talks fall apart after months of bipartisan negotiations in Congress,Center,Center
Sweeping George Floyd police reform bill stalls as talks collapse,Left,Neutral
Researchers say fake news had 'substantial impact' on 2016 election,Center,Center
A new study suggests fake news might have won Donald Trump the 2016 election,Left,Left
Ohio State Fake News Study Doesn’t Say What The Media Thinks It Says,Right,Center
Report: Comey Requested More Resources for Russia Investigation Days Before Firing,Right,Center
Sources: Comey told lawmakers he wanted more resources for Russia probe,Left,Center
Furor over Comey firing grows with news that he sought resources for Russia investigation before his dismissal,Left,Center
New questions about AstraZeneca vaccine could derail its emergency use in US,Center,Center
"AstraZeneca Cherry-Picked Data, Misrepresented Vaccine’s Efficacy, Independent Medical Board Alleges",Right,Center
Trial review board raises concerns about AstraZeneca vaccine data,Left,Center
Poll: Voters fret Trump or Clinton in the White House,Left,Center
"Donald Trump Solidifies His Lead, but Leaves Many Nervous",Left,Center
Trump has touched a nerve: The Donald surges to 35 percent in national poll,Right,Center
‘We have the votes’: Senate advances Biden’s $1.2 trillion infrastructure deal,Right,Center
Infrastructure deal: Senate suddenly acts to take up bill,Left,Center
Senate votes to take up infrastructure deal,Center,Center
"Who Is Boris Johnson? Trump-Defending, US-Fan Faces Big Battles as He Takes Charge of Britain",Right,Center
Boris Johnson wins race to be Tory leader and PM,Center,Center
Boris Johnson elected new Tory leader,Left,Center
White House Announces Largest Increase In Weekly Vaccine Distribution Since Biden Took Office,Right,Neutral
Dr. Fauci shifts the timeline on when the general public will be able to get a vaccine,Left,Center
Biden administration increases the number of Covid vaccine doses shipped weekly to states and pharmacies,Center,Neutral
"White House backs down from legal fight, restores Jim Acosta's press pass",Left,Center
Jim Acosta's press pass restored by White House with warning not to misbehave,Right,Center
"White House restores Jim Acosta's press pass, ending court fight",Center,Center
Obama: People 'Will Be Held Accountable' For Veterans Affairs Problems,Left,Neutral
GOP Reacts: Obama Cares More About Obamacare Website Than Veterans,Right,Right
Obama: VA hospital misconduct “dishonorable…and I will not tolerate it”,Left,Center
California Air Regulators Vote to Ban Sale of New Gasoline Cars by 2035,Right,Left
California’s gas car ban will change how everyone drives,Left,Center
California bans the sale of new gas-powered cars by 2035,Center,Left
Tenure for teachers? 9 California students sue to end policy,Center,Neutral
"Public school students’ lawsuit challenges tenure, seeks to ban bad educators",Right,Center
Lawsuit takes on California teachers' job protections,Left,Center
"Nine Dead in Mass Shooting at Church in Charleston, South Carolina; Gunman at Large",Right,Center
"Police Release Photos of Charleston, South Carolina, Church Shooting Suspect",Left,Center
Manhunt follows attack on historic black South Carolina church,Center,Center
Obama Visits Florida Everglades to Press Climate Change Agenda,Center,Center
"Obama Spends Earth Day In The Everglades, Taunting Republicans On Climate Change",Left,Left
"Obama honors Earth Day by using 9,180 gallons of jet fuel — that’s just the start",Right,Right
Trump closing argument is battle cry against Clinton corruption,Right,Right
Trump Touts Plan for First 100 Days of Presidency,Center,Center
Donald Trump Pledges to ‘Heal Divisions’ (and Sue His Accusers),Left,Neutral
Obama Takes Over White House Press Briefing To Speak On Trayvon Martin,Left,Left
Obama: Trayvon Martin 'Could Have Been Me',Center,Left
"Obama enters Martin debate with personal remarks, questions 'stand-your-ground'",Right,Left
Michael Avenatti Implicates Kavanaugh in Pattern of Teenage Sexual Assault,Left,Left
Avenatti: New client will go public with Kavanaugh accusations by Wednesday,Center,Neutral
Journalists Trash Porn Star Attorney for His Dubious Kavanaugh Allegations,Right,Right
McConnell backs bill to ease up on hemp cultivation,Left,Neutral
McConnell bill would legalize hemp as agricultural product,Center,Center
Mitch McConnell will introduce a bill to greenlight hemp production,Right,Neutral
Trump’s new HHS office will protect health care workers who object to abortion,Left,Right
"Trump administration creates new religious, moral protections for health workers",Center,Center
Trump Administration Creates Office To Protect Health Care Workers From Violating Religious Convictions,Right,Center
"Civil War: As Sanders Racks Up Wins, Democratic Race Getting Ugly",Right,Center
Bernie Sanders: Hillary Clinton is not 'qualified' to be president,Left,Left
Sanders ticks off ways Clinton not ‘qualified’ to be president,Left,Right
Obama ties legacy to Iran nuclear deal,Left,Center
US reportedly backed down on initial goals in Iran talks,Right,Neutral
A Foreign Policy Gamble by Obama at a Moment of Truth,Left,Center
Iowa Might Have Screwed Up The Whole Nomination Process,Center,Neutral
Iowa’s Democratic Disaster,Right,Right
"With Polls Up and Acquittal in Sight, Trump Revels in Democratic Dysfunction",Left,Center
"As An Indigenous Woman, I Always Hate Thanksgiving. This Year I’m Terrified Of It.",Left,Left
Thanksgiving Is Not a Lie,Right,Center
"400 years after 'First Thanksgiving,' tribe that fed the Pilgrims fights for survival",Center,Center
Leftists Decry Fake University ICE Sting Practiced During Obama Administration,Right,Left
"ICE set up a fake university, then arrested 250 people granted student visas",Left,Center
ICE arrests 90 more foreign students at fake university created by DHS in Michigan,Left,Center
West Hollywood passes resolution to remove President Trump's Hollywood Walk of Fame star,Right,Left
"Dig up Trump's Hollywood Walk of Fame star, councilors urge",Center,Left
West Hollywood Urges Removal of Trump’s Walk of Fame Star (It’s a Long Shot),Left,Left
‘I don’t know John Lewis’: Trump bashes deceased civil rights leader for skipping his inauguration,Left,Right
"Exclusive: Trump declines to praise John Lewis, citing inauguration snub",Center,Neutral
"Trump withholds praise for John Lewis, notes he 'didn't come to my inauguration'",Right,Right
"N.S.A. Breached North Korean Networks Before Sony Attack, Officials Say",Left,Center
NSA program reportedly helped US gather evidence against North Korea in Sony hack,Right,Neutral
Corruption Currents: NSA Helped Link North Korea to Sony Hack,Center,Center
"Joint session 2017: Why isn't Trump's speech called a ""State of the Union"" address?",Left,Center
President Trump goes to Congress to make a sale,Left,Neutral
Trump’s First Address to Congress: What to Expect,Right,Center
"No, the CDC did not ‘quietly adjust’ US coronavirus deaths",Left,Center
Twitter Removes Claim About CDC And Covid-19 Coronavirus Deaths That Trump Retweeted,Center,Center
94% of Americans who died from COVID-19 had contributing conditions: CDC,Right,Center
Same-sex couples to wed in Alabama despite efforts to block them,Left,Left
Alabama begins issuing marriage licenses to gay couples,Right,Center
Alabama Chief Justice asks officials to defy gay marriage ruling,Left,Right
OPINION: The real terror threat in America is homegrown,Left,Center
OPINION: The Scope of the Orlando Carnage,Left,Center
The Orlando Horror and Hard Truths,Right,Center
"Missouri police officer shoots, kills man who pulled gun",Right,Center
"Video Shows Moments Before Police Shooting Near Ferguson, Missouri",Left,Center
Missouri Police Officer Kills Man Who Pulled Gun,Center,Neutral
The Equal Rights Un-Amendment,Right,Center
"No, the Equal Rights Amendment is not a 'feminist handout'",Center,Center
"Bless Virginia for passing the Equal Rights Amendment, but blame women for taking this long",Center,Center
Supreme Court Refuses to Hear Arizona Abortion Appeal,Center,Neutral
Supreme Court won’t revive Arizona’s strict abortion rules,Left,Center
Arizona's 20-Week Abortion Ban Rejected by Supreme Court,Right,Center
Zelensky calls on West to ban all Russian travelers,Left,Center|Left
Ukraine’s Zelensky calls for travel ban on Russians entering Western nations,Right,Neutral
Kyiv urges travel ban on Russians as Moscow steps up assault in eastern Ukraine,Center,Left
Illegal ballot harvesting caused a do-over House election in North Carolina. What are the pros and cons?,Center,Center
Trump unloads on 'disloyal' Democratic House candidate at fiery rally ahead of pivotal North Carolina special election,Right,Right
North Carolina House race carries unlikely hangover from fraud scandal,Left,Center
Obama Set for Limited Strike on Syria as British Vote No,Left,Center
U.S. officials say options under consideration in Syria would not require a coalition to be effective,Center,Center
"Obama may go solo with Syria strike; U.S., British lawmakers voice opposition",Right,Center
"Inflation rises 7.9% in February, a new 40-year high",Right,Neutral
Inflation up 7.9 percent in February compared to last year as price rises grip U.S. economy,Left,Neutral
U.S. February Consumer Prices Rose 7.9% From Year Earlier,Center,Neutral
Pressure on Fed to raise interest rates as US inflation surges to 30-year high,Left,Center
"Inflation spikes as prices surge 6.2 percent, most in over 30 years",Right,Neutral
"U.S. consumer prices jump 6.2% in October, the biggest inflation surge in more than 30 years",Center,Neutral
Italians Vote in Election that May Overturn EU Order,Right,Center
Italy election: Will far-right prevail for first time since WII?,Left,Center
Italy votes as far-right Meloni looks for victory,Center,Right
Hurricane Irma takes direct aim at Florida,Right,Center
"Irma menaces Bahamas and Cuba, on course toward Florida",Center,Center
Hurricane Irma tears through Caribbean islands and is on collision course with Florida,Left,Center
Kamala Harris Is Biden’s VP Pick — Here’s What It Means For The Election And Beyond,Center,Neutral
Sen. Kamala D. Harris named as Joe Biden’s running mate,Left,Neutral
"Biden taps Kamala Harris as running mate, setting aside tensions from primary",Right,Neutral
"Barack Obama to Travel to Kenya, Fulfilling Promise of Presidential Visit to Father’s Homeland",Center,Neutral
President Obama to Visit Kenya,Left,Neutral
"Obama to Make Landmark Presidential Trip to Father's Homeland, Kenya",Right,Neutral
What time is the eclipse where I live?,Left,Center
How to View the 2017 Solar Eclipse Safely,Center,Center
More than spectacle: Eclipses create science and so can you,Left,Center
Obama on ISIS Airstrikes: 'This Is Not America's Fight Alone',Left,Center
Obama: Syria strikes show ‘this is not America’s fight alone’,Right,Center
IS strikes: Not America's fight alone - Obama,Center,Center
"The Ever Given Is Free, Clearing Way for Traffic to Resume",Left,Neutral
"Grounded cargo ship Ever Given floating, moving through Suez Canal",Left,Center
Container ship stuck in Suez Canal freed,Right,Center
Business groups sue Trump admin over immigration restrictions,Center,Center
The Case for Setting H-1Bs Free,Right,Center
Hospitals Are Suddenly Short of Young Doctors — Because of Trump’s Visa Ban,Left,Left
Trump blasted Australian prime minister during ‘worst call by far’,Right,Left
U.S.-Australia Rift Is Possible After Trump Ends Call With Prime Minister,Left,Neutral
Trump Disparages 'Dumb' Deal With Australia On Refugees,Left,Center
Jobs report could show a slowing trend and be the lever the Fed needs to cut rates,Center,Center
"U.S. Wage and Job Growth Are Slowing, New Report Warns",Left,Center
What job growth in June can reveal about a Fed rate cut in July,Right,Center
Iran warns U.S. it could down more drones as Pompeo arrives in Persian Gulf,Left,Center
Iran threatens 'crushing response' to US drones as Pompeo arrives in region,Left,Center
Iranian official warns more US spy drones can be blown out of the sky,Right,Center
Michigan House repeals emergency powers law Gov. Whitmer used to fight pandemic,Left,Right
Michigan Legislature kills law Whitmer used for virus rules,Left,Right
Michigan repeals law that gave Gov. Gretchen Whitmer emergency powers,Right,Center
"Are schools contributing to a spike in COVID-19 cases among kids? Partly, experts explain.",Left,Center
"As Kids Head Back to School, Science-Backed Ways to Help Their COVID Blues",Center,Center
Back to School With No Idea What to Expect,Right,Center
Liz Truss vows energy crisis action ahead of first day as PM,Center,Neutral
Liz Truss becomes UK prime minister after meeting Queen at Balmoral,Left,Center
Liz Truss's Cabinet: Who's in and who's out?,Right,Center
Laptop Email: Joe Biden Did Favor for Hunter’s Chinese Business Associate,Right,Right
Here’s a dozen times Joe Biden played a role in son Hunter’s business dealings,Right,Right
"Biden wrote college recommendation letter for son of Hunter's Chinese business partner, emails reveal",Right,Center
US sets COVID record with more than 1 million daily cases,Right,Center
U.S. Logs Record 1 Million Virus Cases With Data Delay,Left,Neutral
More than 1 million Americans were diagnosed with COVID over the long holiday weekend,Left,Neutral
"Early voting in Iowa, other states kicks off presidential election",Right,Center
Iowa Voters Who Are Ã¢â‚¬â€ Literally Ã¢â‚¬â€ Done With The Election,Left,Center
"September, November: 40 Precious Days to Spend on Early Vote",Left,Center
OPINION: Congress Overrides Obama,Right,Neutral
Congress steamrolls Obama's veto,Center,Right
Congress Hands Barack Obama The First Veto Override Of His Presidency,Left,Neutral
How Harvard Should Handle the Kyle Kashuv Mess,Center,Center
Harvard's rejection of Parkland student made sense,Left,Center
"Harvard Rescinds Admission To Conservative Kyle Kashuv Over Private Racist Remarks He Wrote At 16, Despite Apology And Evidence Of Growth. This Is Disgusting.",Right,Left
Supreme Court Allows GOP’s Extreme Gerrymandering to Stand,Left,Right
"On Gerrymandering, SCOTUS Punts With a Purpose",Right,Center
Supreme Court punts on two cases regarding partisan election districts,Left,Center
"No prison for U.S. Army deserter Bergdahl, who Trump wanted dead",Center,Left
"Bowe Bergdahl won’t serve prison time, and that’s making Trump really angry",Left,Center
The Bergdahl Sentence is a Travesty,Right,Right
"White House, truckers blast Texas as inspections snarl Mexico traffic",Left,Neutral
"Texas Gov. Abbott vows to continue truck inspections until Biden, Mexico move to secure border",Right,Center
"Border agencies, truckers, leaders blast 'unnecessary' increased inspections stymying commerce",Center,Center
The Trump administration is finalizing plans to strip funding from Planned Parenthood,Left,Right
Trump administration bans abortion referrals at U.S.-funded clinics,Center,Right
Trump admin bars federal funding for abortion clinics,Right,Right
Biden to pitch sweeping ‘family plan’ in speech to Congress,Left,Center
"Biden to push trillions in investment, plead for police reform in Congress speech",Center,Neutral
Biden moves to extend key parts of COVID-19 relief bills with American Families Plan,Right,Center
"Memo to Democrats: If there’s another covid surge, you’ll get the blame",Left,Center
America Is Zooming Through the Pandemic Panic-Neglect Cycle,Center,Center
There is no need for more COVID money,Right,Neutral
"Supreme Court has voted to overturn abortion rights, draft opinion shows",Left,Left
"Court has voted to overturn Roe, according to draft opinion published by Politico",Center,Center
"Supreme Court Poised to Overturn Roe, Draft Opinion Shows",Right,Left
DeVos ignites backlash with rewrite of campus sexual assault policy,Center,Center
Feminists Go Nuts After Betsy DeVos Makes Statement On Sexual Assault Guidance,Right,Right
How To Argue About Title IX If Betsy DeVos’ Decision Makes You Absolutely Livid,Left,Left
Trump tries to distance himself from 'send her back' chants,Left,Neutral
Donald Trump blames supporters for 'send her back' taunts against black lawmaker,Left,Center
Trump says he is 'not happy' with 'send her back' chant,Right,Center
Trump and Sanders Win New Hampshire Primary,Left,Neutral
How Trump and Sanders Broadened Their Bases in New Hampshire,Center,Center
"Analysis: Trump and Sanders Dominate, Rubio Crumbles, in New Hampshire",Right,Center
"How To Host A Congressional Hearing That Actually, Like, Does Something",Center,Center
The January 6 committee’s biggest task is getting people to care,Left,Center
Jan. 6 hearings? Americans have much more serious concerns,Right,Center
"Brett Kavanaugh confirmation hearings launch amid partisan fireworks, high stakes for Supreme Court",Right,Center
Senate Hearings Set To Begin For The ‘Forrest Gump Of Republican Politics’,Left,Center
Kavanaugh Supreme Court Confirmation Hearings Begin,Left,Neutral
Kellyanne Joins Trump Team,Right,Neutral
Donald Trump Adviser Kellyanne Conway Joining White House Team,Left,Center
Trump picks Kellyanne Conway to serve as counselor to the president,Left,Neutral
Ann Romney's RNC task: Humanize Mitt,Left,Neutral
Ã¢â‚¬ËœMittigatorÃ¢â‚¬â„¢ to make case for Romney,Right,Neutral
"Ann Romney, Gov. Christie & The Roll Call: Today's Convention Highlights",Left,Center
Kerry’s Blunt Words for Israel Denounced by Lawmakers in Both Parties,Left,Center
Netanyahu: John Kerry blamed Israel for lack of peace,Center,Right
A Stupid Anti-Israel Policy,Right,Right
Trump Denies Changing His Position on Border Wall,Left,Center
Trump: Vision of border wall 'has never changed or evolved’,Center,Center
"Donald Trump Corrects John Kelly: ‘The Wall Is the Wall, It Has Never Changed or Evolved’",Right,Right
Egyptian Forces Storm Pro-Morsi Sit-Ins,Left,Center
Violent breakup of pro-Morsi protest camp ends Cairo's tense calm,Center,Center
"56 dead, more than 600 hurt as Egyptian forces clear pro-Morsi camps",Right,Left
Senators unveil bipartisan legislation to reform counting of electors,Center,Center
Senators unveil bipartisan legislation to reform Electoral Count Act,Right,Center
Senators reveal bipartisan legislation to prevent the next Jan 6,Left,Center
Police flagged Highland Park shooter ‘clear and present danger’ in 2019; he later cleared 4 background checks,Right,Center
Highland Park shooting suspect's past littered with 'red flags',Left,Center
"July 4 parade shooting suspect slipped past Illinois ""red flag"" safeguards",Center,Center
Congress again races to avoid shutdown as key vote at risk of failing,Left,Center
Congress flirts with government shutdown as Manchin permitting bill may drag down funding package,Right,Center
Manchin faces make-or-break vote on permitting reform,Center,Center
Republican Jake Ellzey Beats Trump-Backed Candidate in Texas House Runoff,Right,Left
"Jake Ellzey Wins Texas Special Election, Upsetting Trump-Endorsed Candidate",Center,Left
Trump-backed candidate loses in Texas special election,Left,Center
Which U.S. communities sent money to support the Canadian trucker protests?,Left,Neutral
Threats force Ottawa cafe owner to close business after name appears in hacked list of Freedom Convoy donors,Right,Center
Canada Sanctions 34 Crypto Wallets Tied to Trucker 'Freedom Convoy',Center,Neutral
Trump administration declassifies unconfirmed intel on Chinese bounties,Center,Center
Trump to Declassify Intel China Paid for Attacks on US Soldiers,Right,Right
Trump was briefed that China sought to pay non-state actors to attack US forces in Afghanistan,Left,Center
McConnell rails against Mueller report politics in blistering floor speech: ‘Case closed’,Right,Right
McConnell on Mueller report: 'Case closed',Left,Center
GOP leader McConnell to say ‘case closed’ on Mueller probe,Left,Right
Biden’s Big Elections Lie,Right,Right
Pro-Trump Republicans try to rewrite state election laws as a voting rights showdown looms in Congress,Left,Left
Read Everything Joe Biden Said in His Speech About Voting Rights in Georgia,Center,Neutral
Former Cuomo aide accuses governor of kissing her without permission,Center,Neutral
Former Aide to Cuomo Details Sexual Harassment Accusations,Right,Center
Ex-Aide Details Sexual Harassment Claims Against Gov. Cuomo,Left,Center
St. Louis protesters break windows at home of city's mayor after cop's acquittal,Right,Left
"Police, protesters clash in St. Louis after ex-cop acquitted of murdering black man",Center,Center
Police and protesters clash in St. Louis after former officer who shot black driver acquitted on murder charges,Left,Center
Trump to cops: 'Don't be too nice',Center,Center
"Media sympathizes with MS-13, lambasts Trump",Right,Left
The most alarming passages from Trump’s fearmongering Long Island speech,Left,Left
Trump Offers Jeff Sessions Attorney General Job,Left,Neutral
Alabama senator Sessions offered attorney general post in Trump administration,Right,Neutral
Sessions tapped as attorney general,Left,Neutral
Loretta Lynch Confirmed as Next Attorney General,Center,Neutral
Senate Makes History By Confirming Loretta Lynch As U.S. Attorney General,Left,Center
"Lynch clears filibuster, poised to become first black woman attorney general",Right,Center
"Biden fires Social Security Commissioner Andrew Saul, who says he isn't leaving",Right,Neutral
Biden fires Trump-appointed head of Social Security agency,Left,Center
"Biden fires head of Social Security Administration, a Trump holdover who drew the ire of Democrats",Left,Left
Glenn Beck: Hillary Clinton 'will be the next president',Left,Right
Why Glenn Beck Said Hillary Clinton ‘Will Be the Next President of the United States’,Right,Center
Glenn Beck: ‘Hillary Clinton will be the next president’,Left,Right
"Weekly initial jobless claims fall below 300,000 for first time since pandemic began",Left,Center
US unemployment claims fall to lowest level since pandemic,Left,Center
Jobless claims drop to a fresh pandemic low,Right,Center
Jobless claims dip below 1 million for first time in more than four months,Left,Center
Weekly Jobless Claims Fall Below 1 Million for First Time in Pandemic,Right,Center
US jobless claims fall below 1 million but remain high,Left,Center
"Brittney Griner, Paul Whelan's families meet with Biden to discuss return to United States",Right,Neutral
President Joe Biden meets with wife of Brittney Griner to show detained WNBA star is 'front of mind',Left,Center
"Biden meets families of Russian-held detainees Griner, Whelan",Center,Neutral
Supreme Court Rejects Trump’s Bid To Quash Jan. 6 Committee Subpoenas,Right,Left
U.S. Supreme Court spurns Trump bid to keep Capitol attack records secret,Center,Center
Supreme Court clears the way for House to get Trump White House documents,Left,Center
Many religious freedom advocates are actually disappointed with Trump’s executive order,Left,Center
Trump signs executive order to 'vigorously promote religious liberty',Left,Center
"Trump marks National Day of Prayer, signs executive order on religious freedom",Right,Center
Trump and Biden will have mics muted for part of last presidential debate,Center,Center
Debate commission to mute candidates during their opponent's initial responses to prevent interruptions,Left,Center
Debate Commission Will Silence Microphones in Final Debate,Right,Neutral
Donald Trump’s charge on the election’s integrity reverberates in both campaigns,Left,Center
Donald Trump refuses to say whether he'll accept election results,Left,Neutral
Trump's Hedge on Accepting Election Results Boosts Hillary in Status Quo Debate,Right,Center
Why tech companies failed to keep the New Zealand shooter’s extremism from going viral,Left,Center
New Zealand mosque shooter’s livestream sparks social media scramble to remove sick footage,Right,Center
Facebook removed 1.5 million videos of New Zealand attack within 24 hours,Left,Center
"Echoing Conservative Grievances, Blackburn Miscasts Jackson’s Views",Left,Left
Jackson forcefully pushes back against GOP child porn sentencing attacks,Center,Left
Lindsey Graham invokes ‘dogma lives loudly’ moment during Ketanji Brown Jackson hearing,Right,Neutral
Texas abortion law stays in place after federal appeals court sides with the state,Left,Center
Court again lets Texas continue banning most abortions,Left,Right
"Texas Abortion Law to Remain in Effect, Federal Appeals Court Rules",Right,Center
Obama Takes Aim at Presidential Hopefuls at White House Correspondents Dinner,Center,Neutral
‘A Foolproof Way to Keep People Off My Lawn’: Obama’s 10 Biggest Jabs at Republicans During WH Correspondents’ Dinner,Right,Left
"Obama Has Hit The DGAF Portion Of His Presidency, And This Video Is Proof",Left,Left
2016 poll: Clinton's lead shrinks in key state,Left,Neutral
Poll: Hillary Clinton tops all potential GOP foes in Ohio,Left,Center
Hillary looks rusty at her coming out party,Right,Center
"President Obama's budget targets smokers, wealthy - Reid J. Epstein and Darren Samuelsohn",Left,Center
"Republicans rip 'unbalanced' budget proposal, bristle at proposed tax hikes",Right,Right
What's in the Obama budget,Left,Center
"Washington Dysfunction, With a Twist: Democrats Desert Their President",Left,Center
Long Odds Ahead for Obama on His Troubled Trade Agenda,Right,Center
"House Deals Blow to Obama’s Bid for Trade Deal, Rejects Worker-Aid Program",Center,Center
Fast-Food Protests Return Amid Push For Wage Hikes,Left,Center
The Video Every Fast Food Striker Should Watch,Right,Left
Here's Why Fast Food Workers Are Striking This Week,Left,Center
Prudence Is the Right Response to the Khashoggi Affair,Right,Right
Jamal Khashoggi: Trump to 'punish' Saudis over journalist,Center,Center
What makes Jamal Khashoggi’s alleged murder so depraved,Left,Center
4 ways Trump's tax cuts changed the American economy,Left,Center
"NYT Fact Check: Actually, the Overwhelming Majority of Americans Got a Tax Cut, Despite Democrats' False Propaganda",Right,Right
Trump Gave Most Americans a Tax Cut and They Didn’t Notice,Left,Center
"‘We became like a chicken in a cage,’ a migrant says, trapped between Belarus and Poland.",Left,Center
Neighbours of Belarus say migrant crisis risks military clash,Center,Center
Poland to reinforce Belarus border and offer aid to migrants,Right,Neutral
Romney and Obama Spar Over Attack,Left,Center
Obama condemns killing of U.S. ambassador to Libya,Left,Neutral
"US ambassador to Libya, 3 American staff members killed in attack",Right,Center
"Mueller, House Judiciary Committee reach tentative testimony agreement",Right,Neutral
‘Tentative date’ for Mueller’s House panel testimony,Left,Center
House Democrat says Mueller and Judiciary Committee tentatively agree on May 15 for his testimony on Russia investigation,Left,Neutral
US economists see higher wages feeding inflation for 3 years,Left,Center
Survey: Business economists foresee persistent inflation,Left,Center
"Economists dial up inflation targets amid rising wages, strong consumer demand: NABE",Right,Center
Putin Plots a Parallel Internet,Right,Neutral
Russia just paved the way for Putin to be president for life,Left,Left
Lack of US consensus on Russia? Bounty report poses sharper question.,Center,Center
Northern California rocked by magnitude 6.0 earthquake,Right,Center
State of emergency declared after Calif. quake,Left,Center
Emergency declared after 6.0 earthquake sends 89 to hospital in Napa,Left,Center
How US leaders can best support protesters in Iran,Center,Center
Iran’s Brave Women Deserve the World’s Support,Left,Left
Biden must act to support Iran protests,Right,Left
There's a blackout in the UK -- on election coverage,Left,Neutral
UK voters choose lawmakers in election seen as dead heat,Right,Center
Britain votes in a neck-and-neck contest to determine who will govern,Left,Center
San Francisco wiping thousands of pot convictions off the record after legalization,Left,Center
"Starting Today, San Francisco Is Erasing Everybody's Misdemeanor Pot Convictions",Right,Left
"San Francisco makes weed legalization retroactive, wiping out criminal records for thousands",Left,Left
Next immigration hurdle: Citizenship's fine print,Left,Center
"Republicans raise concern immigration bill being rushed, warn against 'fatal' mistakes",Right,Center
